,year,overall,rural,urban,geo,name,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,unmember,world_bank_region,income_groups
54,2000,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
55,2001,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
56,2002,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
57,2003,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
58,2004,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
59,2005,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
60,2006,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
61,2007,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
62,2008,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
63,2009,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
64,2010,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
65,2011,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
66,2012,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
67,2013,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
68,2014,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
69,2015,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
70,2016,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
71,2017,1,1,1,and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/07/1993,Europe & Central Asia,High income
144,2000,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
145,2001,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
146,2002,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
147,2003,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
148,2004,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
149,2005,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
150,2006,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
151,2007,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
152,2008,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
153,2009,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
154,2010,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
155,2011,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
156,2012,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
157,2013,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
158,2014,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
159,2015,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
160,2016,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
161,2017,1,,,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,01/11/1945,East Asia & Pacific,High income
162,2000,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
163,2001,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
164,2002,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
165,2003,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
