location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Afghanistan,AFG,2021-02-22,0,0,,,,0,0,,
Afghanistan,AFG,2021-02-23,,,,,1367,,0.02,,35
Afghanistan,AFG,2021-02-24,,,,,1367,,0.14,,35
Afghanistan,AFG,2021-02-25,,,,,1367,,0.31,,35
Afghanistan,AFG,2021-02-26,,,,,1367,,0.62,,35
Afghanistan,AFG,2021-02-27,,,,,1367,,1.15,,35
Afghanistan,AFG,2021-02-28,8200,8200,,,1367,0.02,1.21,,35
Afghanistan,AFG,2021-03-01,,,,,1580,,1.22,,41
Afghanistan,AFG,2021-03-02,,,,,1794,,1.23,,46
Afghanistan,AFG,2021-03-03,,,,,2008,,1.23,,52
Afghanistan,AFG,2021-03-04,,,,,2221,,1.23,,57
Afghanistan,AFG,2021-03-05,,,,,2435,,1.24,,63
Afghanistan,AFG,2021-03-06,,,,,2649,,1.24,,68
Afghanistan,AFG,2021-03-07,,,,,2862,,1.24,,74
Afghanistan,AFG,2021-03-08,,,,,2862,,1.25,,74
Afghanistan,AFG,2021-03-09,,,,,2862,,0,,74
Afghanistan,AFG,2021-03-10,,,,,2862,,0,,74
Afghanistan,AFG,2021-03-11,,,,,2862,,0,,74
Afghanistan,AFG,2021-03-12,,,,,2862,,0,,74
Afghanistan,AFG,2021-03-13,,,,,2862,,0,,74
Afghanistan,AFG,2021-03-14,,,,,2862,,0,,74
Afghanistan,AFG,2021-03-15,,,,,2862,,0,,74
Afghanistan,AFG,2021-03-16,54000,54000,,,2862,0.14,0,,74
Afghanistan,AFG,2021-03-17,,,,,2882,,0,,74
Afghanistan,AFG,2021-03-18,,,,,2902,,0,,75
Afghanistan,AFG,2021-03-19,,,,,2921,,0,,75
Afghanistan,AFG,2021-03-20,,,,,2941,,0,,76
Afghanistan,AFG,2021-03-21,,,,,2961,,0,,76
Afghanistan,AFG,2021-03-22,,,,,2980,,0,,77
Afghanistan,AFG,2021-03-23,,,,,3000,,0,,77
Afghanistan,AFG,2021-03-24,,,,,3000,,0,,77
Afghanistan,AFG,2021-03-25,,,,,3000,,0,,77
Afghanistan,AFG,2021-03-26,,,,,3000,,0,,77
Afghanistan,AFG,2021-03-27,,,,,3000,,0,,77
Afghanistan,AFG,2021-03-28,,,,,3000,,0,,77
Afghanistan,AFG,2021-03-29,,,,,3000,,0,,77
Afghanistan,AFG,2021-03-30,,,,,3000,,0,,77
Afghanistan,AFG,2021-03-31,,,,,3000,,0,,77
Afghanistan,AFG,2021-04-01,,,,,3000,,0,,77
Afghanistan,AFG,2021-04-02,,,,,3000,,0,,77
Afghanistan,AFG,2021-04-03,,,,,3000,,0,,77
Afghanistan,AFG,2021-04-04,,,,,3000,,0,,77
Afghanistan,AFG,2021-04-05,,,,,3000,,0,,77
Afghanistan,AFG,2021-04-06,,,,,3000,,0,,77
Afghanistan,AFG,2021-04-07,120000,120000,,,3000,0.31,0,,77
Afghanistan,AFG,2021-04-08,,,,,3714,,0,,95
Afghanistan,AFG,2021-04-09,,,,,4429,,0,,114
Afghanistan,AFG,2021-04-10,,,,,5143,,0.19,,132
Afghanistan,AFG,2021-04-11,,,,,5857,,0.19,,150
Afghanistan,AFG,2021-04-12,,,,,6571,,0.19,,169
Afghanistan,AFG,2021-04-13,,,,,7286,,0.2,,187
Afghanistan,AFG,2021-04-14,,,,,8000,,0.21,,206
Afghanistan,AFG,2021-04-15,,,,,8000,,0.23,,206
Afghanistan,AFG,2021-04-16,,,,,8000,,0.25,,206
Afghanistan,AFG,2021-04-17,,,,,8000,,0.27,,206
Afghanistan,AFG,2021-04-18,,,,,8000,,0.27,,206
Afghanistan,AFG,2021-04-19,,,,,8000,,0.28,,206
Afghanistan,AFG,2021-04-20,,,,,8000,,0.29,,206
Afghanistan,AFG,2021-04-21,,,,,8000,,0.29,,206
Afghanistan,AFG,2021-04-22,240000,240000,,,8000,0.62,0.3,,206
Afghanistan,AFG,2021-04-23,,,,,8846,,0.31,,227
Afghanistan,AFG,2021-04-24,,,,,9692,,0.32,,249
Afghanistan,AFG,2021-04-25,,,,,10538,,0.33,,271
Afghanistan,AFG,2021-04-26,,,,,11384,,0.33,,292
Afghanistan,AFG,2021-04-27,,,,,12229,,0.35,,314
Afghanistan,AFG,2021-04-28,,,,,13075,,0.36,,336
Afghanistan,AFG,2021-04-29,,,,,13921,,0.37,,358
Afghanistan,AFG,2021-04-30,,,,,13921,,0.38,,358
Afghanistan,AFG,2021-05-01,,,,,13921,,0.38,,358
Afghanistan,AFG,2021-05-02,,,,,13921,,0.39,,358
Afghanistan,AFG,2021-05-03,,,,,13921,,0.4,,358
Afghanistan,AFG,2021-05-04,,,,,13921,,0.4,,358
Afghanistan,AFG,2021-05-05,,,,,13921,,0.41,,358
Afghanistan,AFG,2021-05-06,,,,,13921,,0.41,,358
Afghanistan,AFG,2021-05-07,,,,,13921,,0.42,,358
Afghanistan,AFG,2021-05-08,,,,,13921,,0.43,,358
Afghanistan,AFG,2021-05-09,,,,,13921,,0.43,,358
Afghanistan,AFG,2021-05-10,,,,,13921,,0.43,,358
Afghanistan,AFG,2021-05-11,504502,448878,55624,,13921,1.3,0.43,0.14,358
Afghanistan,AFG,2021-05-12,,,,,12621,,0.44,,324
Afghanistan,AFG,2021-05-13,,,,,11321,,0.49,,291
